Breed,Characteristic,Height,Weight,Life Expectancy,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Openness To Strangers,Watchdog/Protective Nature,Playfulness Level,Adaptability Level,Trainability Level,Barking Level,Energy Level,Mental Stimulation Needs
Affenpinscher,confident / famously funny / fearless,9-11.5 inches,7-10 pounds,12-15 years,3,3,3,3,3,1,5,3,3,4,3,3,3,3
Afghan Hound,independent / sweet,25-27 inches,50-60 pounds,12-18 years,3,3,3,1,4,1,3,3,3,3,1,3,4,3
Airedale Terrier,friendly / courageous / clever,23 inches,50-70 pounds,11-14 years,3,3,3,1,3,1,3,5,3,3,3,3,3,3
Akita,dignified / courageous / profoundly loyal,26-28 inches (male) / 24-26 inches (female),100-130 pounds (male) / 70-100 pounds (female),10-14 years,3,3,1,3,3,1,2,5,3,3,3,2,4,3
Alaskan Klee Kai,loyal / intelligent / vigilant,12 - 17 inches,6 - 25 lbs,13-16 years,3,3,5,3,3,1,1,3,3,3,3,3,3,3
Alaskan_malamute,loyal / playful / affectionate,25 inches (male) / 23 inches (female),85 pounds (male) / 75 pounds (female),10-14 years,3,3,3,3,3,1,3,4,3,3,5,3,4,3
American Bulldog,loyal / self-confident,22-25 inches (males); 20-23 inches (females),75-100 pounds (males); 60-80 pounds (females),10-12 years,0,3,3,2,0,0,0,0,0,0,4,1,0,0
American English Coonhound,sociable / sweet / mellow,24-26 inches (male) / 23-25 inches (female),45-65 pounds,11-12 years,3,3,5,2,1,1,3,3,3,3,3,4,4,3
American_eskimo_dog,Loyal / Smart / Versatile,9-12 inches (toy) / 12-15 inches (miniature) / 15-19 inches (Standard),6-10 pounds (toy) / 10-20 pounds (miniature) / 25-35 pounds (standard),13-15 years,5,5,3,3,3,1,5,3,3,4,4,3,4,3
American_foxhound,independent / easy-going / sweet-tempered,22-25 inches (male) / 21-24 inches (female),65-70 pounds (male) / 60-65 pounds (female),11-13 years,3,5,5,3,1,1,3,3,3,3,3,5,4,3
American Hairless Terrier,alert / curious / energetic,12-16 inches,12-28 pounds,14-16 years,5,5,3,1,1,1,3,3,3,5,5,3,3,3
American Leopard Hound,intelligent / sociable / energetic,22 - 27 males / 21 - 25 females,45 - 75 lbs males / 35 - 65 lbs females,12-15 years,3,5,5,3,1,1,1,5,3,5,3,5,4,5
American_staffordshire_terrier,good-natured / confident / smart,18-19 inches (male) / 17-18 inches (female),55-70 pounds (male) / 40-55 pounds (female),12-16 years,5,3,3,2,1,1,4,5,3,3,3,3,3,3
American_water_spaniel,charming / eager / happy,15-18 inches,30-45 pounds (male) / 25-40 pounds (female),10-14 years,3,3,3,1,3,1,3,3,3,3,5,3,3,3
Anatolian_shepherd_dog,reserved / independent / loyal,29 inches (male) / 27 inches (female),110-150 pounds (male) / 80-120 pounds (female),11-13 years,1,3,3,3,2,1,1,5,3,3,2,3,3,3
Appenzeller Sennenhund,versatile / agile / lively,20 -22 inches,48-70 pounds,13-15 years,5,3,5,3,3,3,1,5,3,5,5,5,5,5
Australian_cattle_dog,Loyal / Intelligent / Tenacious,18-20 inches (male) / 17-19 inches (female),35-50 pounds,12-16 years,3,3,3,3,1,1,3,4,3,3,4,1,5,4
Australian Kelpie,alert / loyal / intelligent,17-20 inches,35-50 lbs,10-13 years,3,3,3,3,1,1,3,4,3,3,4,1,5,4
Australian_shepherd,smart / work-oriented / exuberant,20-23 inches (male) / 18-21 inches (female),50-65 pounds (male) / 40-55 pounds (female),12-15 years,3,5,3,3,2,1,3,3,4,3,5,3,5,5
Australian Stumpy Tail Cattle Dog,alert / active / bidable,18-20 inches (males) / 17-19 inches (females),38-45 lbs (males) / 32-35 lbs (females),12-15 years,1,3,1,3,3,1,1,3,3,3,3,1,5,5
Australian Terrier,courageous / affectionate / spirited,10-11 inches,15-20 pounds,11-15 years,4,5,3,1,2,1,3,4,3,4,4,3,3,3
Azawakh,independent / loyal / deeply affectionate,25-29 inches (male) / 23.5-27.5 inches (female),44-55 pounds (male) / 33-44 pounds (female),12-15 years,3,3,3,2,2,1,1,3,3,3,2,1,3,3
Barbado da Terceira,loyal / intelligent / joyful and fun loving,20 1/2 - 22 inches (males) / 19 - 21 inches (females),55-60 lbs (males) / 46-57 lbs (females),12-14 years,0,4,3,1,0,0,0,0,0,0,5,5,5,0
Barbet,friendly / bright / sweet-natured,19-24.5 inches,35-65 pounds,12-14 years,4,3,3,1,5,1,3,3,3,3,4,3,3,3
Basenji,independent / smart / poised,17 inches (male) / 16 inches (female),24 pounds (male) / 22 pounds (female),13-14 years,3,3,3,2,1,1,3,3,3,3,2,1,4,4
Basset Fauve de Bretagne,sociable / lively / smart,12.5-15.5 inches,23-39 pounds,13-16 years,3,5,5,3,1,1,5,1,3,5,1,3,4,5
Basset Hound,charming / patient / low-key,up to 15 inches,40-65 pounds,12-13 years,3,5,5,2,3,4,3,3,3,3,3,4,2,3
Bavarian Mountain Scent Hound,loyal / reserved with strangers / versatile,17-20.5 inches,37-66 pounds,12-15 years,3,3,3,3,2,2,3,3,3,3,4,2,4,4
Beagle,curious / friendly / merry,13 inches & under / 13-15 inches,under 20 pounds (13 inches & under) / 20-30 pounds (13-15 inches),10-15 years,3,5,5,3,2,1,3,2,4,4,3,4,4,4
Bearded_collie,smart / bouncy / charismatic,21-22 inches (male) / 20-21 inches (female),45-55 pounds,12-14 years,4,5,5,3,4,1,4,3,4,4,3,5,4,3
Beauceron,faithful / gentle / obedient,25.5-27.5 inches (male) / 24-26.5 inches (female),70-110 pounds,10-12 years,3,3,3,4,3,1,2,4,3,3,3,3,5,3
Bedlington Terrier,loyal / charming / frollicking,15-17.5 inches,17-23 pounds,11-16 years,3,3,3,1,3,1,3,4,3,3,3,3,4,3
Belgian Laekenois,alert / intelligent / affectionate,24-26 inches (male) / 22-24 inches (female),55-65 pounds,10-12 years,3,3,3,3,2,1,3,4,3,3,5,3,4,4
Belgian_malinois,confident / smart / hardworking,24-26 inches (male) / 22-24 inches (female),60-80 pounds (male) / 40-60 pounds (female),14-16 years,3,3,3,3,2,1,3,4,3,3,5,3,4,4
Belgian_sheepdog,bright / watchful / serious-minded,24-26 inches (male) / 22-24 inches (female),55-75 pounds (male) / 45-60 pounds (female),12-14 years,3,3,3,3,2,1,3,4,3,3,5,3,4,4
Belgian_tervuren,alert / intelligent / courageous,24-26 inches (male) / 22-24 inches (female),55-75 pounds (male) / 45-60 pounds (female),12-14 years,3,3,3,3,2,1,3,4,3,3,5,3,4,4
Bergamasco Sheepdog,independent / intelligent / sociable,23.5 inches (male) / 22 inches (female),70-84 pounds (male) / 57-71 pounds (female),13-15 years,3,3,3,1,1,2,3,4,3,3,3,1,3,3
Berger Picard,loyal / good-natured / observant,23.5-25.5 inches (male) / 21.5-23.5 inches (female),50-70 pounds,12-13 years,3,3,3,3,1,1,3,4,3,3,4,2,4,4
Bernese_mountain_dog,good-natured / calm / strong,25-27.5 inches (male) / 23-26 inches (female),80-115 pounds (male) / 70-95 pounds (female),7-10 years,5,5,5,5,3,3,4,3,4,4,4,3,4,3
Bichon_frise,curious / playful / peppy,9.5-11.5 inches,12-18 pounds,14-15 years,5,5,5,1,5,1,5,2,4,4,4,3,4,3
Biewer Terrier,intelligent / devoted / amusing,7-11 inches,4-8 pounds,16 years,5,3,5,1,3,1,3,2,4,3,3,3,3,3
Black_and_tan_coonhound,easy-going / bright / brave,25-27 inches (male) / 23-25 inches (female),65-110 pounds,10-12 years,4,5,5,3,2,3,3,2,3,4,3,4,3,3
Black_russian_terrier,intelligent / calm / powerful,27-30 inches (male) / 26-29 inches (female),80-130 pounds,10-12 years,3,3,3,3,4,3,2,5,3,4,4,3,4,4
